id,firebase_key,power,mode,eco,powerful,temp_room,temp_set,humidity,timestamp,created_at
1499445,161,1,HEAT,0,0,23.0,24.0,19.0,18173569,2026-04-05 06:31:35
1499446,162,1,HEAT,1,0,27.0,24.0,17.0,18180312,2026-04-05 06:31:35
1513628,163,1,HEAT,1,0,27.0,24.0,17.0,19080650,2026-04-05 06:46:44
1527733,164,1,HEAT,1,0,26.0,24.0,18.0,19981933,2026-04-05 07:01:42
1541924,165,1,HEAT,1,0,25.0,24.0,18.0,20882309,2026-04-05 07:16:39
1556201,166,1,HEAT,1,0,24.0,24.0,19.0,21783527,2026-04-05 07:31:37
1570731,167,1,HEAT,1,0,24.0,24.0,19.0,22683908,2026-04-05 07:46:44
1585348,168,1,HEAT,1,0,25.0,24.0,18.0,23588450,2026-04-05 08:01:51
1599883,169,1,HEAT,1,0,25.0,24.0,21.0,24488835,2026-04-05 08:16:49
1614674,170,1,HEAT,1,0,24.0,24.0,19.0,25401938,2026-04-05 08:31:57
1629552,171,1,HEAT,1,0,25.0,24.0,18.0,26302321,2026-04-05 08:47:04
1644517,172,1,HEAT,1,0,25.0,24.0,18.0,27215436,2026-04-05 09:02:11
1659569,173,1,HEAT,1,0,24.0,24.0,24.0,28115800,2026-04-05 09:17:19
1674708,174,1,HEAT,1,0,24.0,24.0,19.0,29028898,2026-04-05 09:32:29
1689759,175,1,HEAT,1,0,23.0,24.0,19.0,29929297,2026-04-05 09:47:26
1705248,176,1,HEAT,1,0,23.0,24.0,19.0,30842319,2026-04-05 10:02:44
1720471,177,1,HEAT,1,0,23.0,24.0,19.0,31742699,2026-04-05 10:17:43
1735958,178,1,HEAT,1,0,23.0,24.0,19.0,32655849,2026-04-05 10:32:51
1751532,179,1,HEAT,1,0,24.0,24.0,19.0,33556236,2026-04-05 10:47:59
1767193,180,1,HEAT,1,0,23.0,24.0,22.0,34469312,2026-04-05 11:03:07
1782760,181,1,HEAT,1,0,23.0,24.0,22.0,35369681,2026-04-05 11:18:06
1798595,182,1,HEAT,1,0,24.0,24.0,19.0,36282884,2026-04-05 11:33:18
1814517,183,1,HEAT,1,0,23.0,24.0,19.0,37183215,2026-04-05 11:48:26
